work_location,position_type,people_number,position_link,publish_times,position_name
深圳,市场类,1,https://hr.tencent.com/position_detail.php?id=39256&keywords=&tid=0&lid=0,2018-04-16,24549-销售市场经理
成都,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39252&keywords=&tid=0&lid=0,2018-04-16,15575-王者荣耀社交数据分析方向产品经理（成都）
广州,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39254&keywords=&tid=0&lid=0,2018-04-16,MIG08-产品经理
深圳,设计类,1,https://hr.tencent.com/position_detail.php?id=39257&keywords=&tid=0&lid=0,2018-04-16,15570-3D场景设计师（深圳）
深圳,技术类,1,https://hr.tencent.com/position_detail.php?id=39248&keywords=&tid=0&lid=0,2018-04-16,25926-用户画像大数据分析工程师（深圳）
深圳,技术类,5,https://hr.tencent.com/position_detail.php?id=39251&keywords=&tid=0&lid=0,2018-04-16,TEG09-接入业务后台开发工程师（深圳）
广州,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39253&keywords=&tid=0&lid=0,2018-04-16,MIG08-产品经理
广州,市场类,1,https://hr.tencent.com/position_detail.php?id=39255&keywords=&tid=0&lid=0,2018-04-16,24549-销售市场经理
深圳,技术类,1,https://hr.tencent.com/position_detail.php?id=39247&keywords=&tid=0&lid=0,2018-04-16,25926-数据分析工程师（深圳）
上海,职能类,1,https://hr.tencent.com/position_detail.php?id=39249&keywords=&tid=0&lid=0,2018-04-16,23677-互娱服务采购经理（上海）
深圳,技术类,1,https://hr.tencent.com/position_detail.php?id=39250&keywords=&tid=0&lid=0,2018-04-16,18797-IOS客户端开发工程师（深圳）
北京,市场类,1,https://hr.tencent.com/position_detail.php?id=39242&keywords=&tid=0&lid=0,2018-04-16,23295-互娱高级活动经理（北京）
深圳,技术类,2,https://hr.tencent.com/position_detail.php?id=39245&keywords=&tid=0&lid=0,2018-04-16,SNG11-知识图谱AI研发工程师（深圳）
深圳,设计类,2,https://hr.tencent.com/position_detail.php?id=39233&keywords=&tid=0&lid=0,2018-04-16,22090-交互设计师（深圳）
深圳,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39237&keywords=&tid=0&lid=0,2018-04-16,18428-支付平台产品运营经理(深圳)
上海,内容编辑类,1,https://hr.tencent.com/position_detail.php?id=39239&keywords=&tid=0&lid=0,2018-04-16,21530-腾讯音乐导演助理（上海）
深圳,技术类,1,https://hr.tencent.com/position_detail.php?id=39244&keywords=&tid=0&lid=0,2018-04-16,MIG09-手机QQ浏览器云服务后台开发工程师(深圳)
深圳,技术类,1,https://hr.tencent.com/position_detail.php?id=39246&keywords=&tid=0&lid=0,2018-04-16,25926-自然语言处理算法工程师（深圳）
北京,技术类,1,https://hr.tencent.com/position_detail.php?id=39236&keywords=&tid=0&lid=0,2018-04-16,26381-技术架构师（深圳）
美国,职能类,1,https://hr.tencent.com/position_detail.php?id=39238&keywords=&tid=0&lid=0,2018-04-16,ZSC-IP Engineer(Palo Alto)
深圳,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39227&keywords=&tid=0&lid=0,2018-04-16,25926-游戏安全产品策划（深圳）
深圳,技术类,2,https://hr.tencent.com/position_detail.php?id=39230&keywords=&tid=0&lid=0,2018-04-16,MIG03-AI评价优化高级工程师（深圳）
深圳,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39232&keywords=&tid=0&lid=0,2018-04-16,18425-E证通产品策划经理（深圳）
深圳,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39219&keywords=&tid=0&lid=0,2018-04-16,21087-移动游戏运营策划（深圳）
深圳,技术类,5,https://hr.tencent.com/position_detail.php?id=39222&keywords=&tid=0&lid=0,2018-04-16,15579-移动游戏客户端开发工程师（深圳）
深圳,技术类,1,https://hr.tencent.com/position_detail.php?id=39229&keywords=&tid=0&lid=0,2018-04-16,25926-后台开发工程师（深圳）
北京,内容编辑类,1,https://hr.tencent.com/position_detail.php?id=39231&keywords=&tid=0&lid=0,2018-04-16,22851-腾讯视频综艺频道会员运营（北京）
深圳,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39234&keywords=&tid=0&lid=0,2018-04-16,WXG06-212 微信境外支付产品策划经理（深圳）
深圳,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39221&keywords=&tid=0&lid=0,2018-04-16,SNG16-全民K歌产品运营策划经理（深圳）
深圳,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39223&keywords=&tid=0&lid=0,2018-04-16,15851-游戏研发韩语PM（深圳）
北京,技术类,2,https://hr.tencent.com/position_detail.php?id=39224&keywords=&tid=0&lid=0,2018-04-16,SA-腾讯社交广告大数据研发工程师（北京）
深圳,技术类,1,https://hr.tencent.com/position_detail.php?id=39226&keywords=&tid=0&lid=0,2018-04-16,25926-游戏安全运营开发工程师（深圳）
深圳,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39213&keywords=&tid=0&lid=0,2018-04-16,SNG16-全民K歌音频直播运营（深圳）
深圳,职能类,1,https://hr.tencent.com/position_detail.php?id=39216&keywords=&tid=0&lid=0,2018-04-16,21527-集团资金管理（深圳）
深圳,职能类,1,https://hr.tencent.com/position_detail.php?id=39218&keywords=&tid=0&lid=0,2018-04-16,21527-腾讯音乐财务管理（深圳）
深圳,技术类,1,https://hr.tencent.com/position_detail.php?id=39225&keywords=&tid=0&lid=0,2018-04-16,HY1-后台策略安全工程师（深圳）
深圳,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39228&keywords=&tid=0&lid=0,2018-04-16,25926-游戏安全产品运营（深圳）
深圳,职能类,1,https://hr.tencent.com/position_detail.php?id=39215&keywords=&tid=0&lid=0,2018-04-16,21527-腾讯音乐风险管理及内部控制分析师（深圳）
深圳,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39217&keywords=&tid=0&lid=0,2018-04-16,WXG04-211 微信游戏内容产品运营（深圳）
深圳,市场类,2,https://hr.tencent.com/position_detail.php?id=39220&keywords=&tid=0&lid=0,2018-04-16,23296-互娱市场与用户研究经理（深圳）
深圳,技术类,1,https://hr.tencent.com/position_detail.php?id=39207&keywords=&tid=0&lid=0,2018-04-16,GY0-推荐系统后台开发工程师
深圳,职能类,1,https://hr.tencent.com/position_detail.php?id=39210&keywords=&tid=0&lid=0,2018-04-16,TA-职业发展经理（深圳）
深圳,职能类,1,https://hr.tencent.com/position_detail.php?id=39212&keywords=&tid=0&lid=0,2018-04-16,21527-腾讯音乐报表合并及分析经理岗位（深圳）
北京,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39203&keywords=&tid=0&lid=0,2018-04-16,26381-解决方案架构师（北京/深圳）
广州,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39205&keywords=&tid=0&lid=0,2018-04-16,MIG08-会员产品经理（腾讯WiFi管家）
深圳,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39209&keywords=&tid=0&lid=0,2018-04-16,18425-区块链项目经理
深圳,技术类,1,https://hr.tencent.com/position_detail.php?id=39211&keywords=&tid=0&lid=0,2018-04-16,24012-移动游戏客户端开发工程师（深圳）
广州,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39201&keywords=&tid=0&lid=0,2018-04-16,MIG08-场景服务产品经理（腾讯WiFi管家）
广州,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39204&keywords=&tid=0&lid=0,2018-04-16,MIG08-开放平台产品经理（腾讯WiFi管家）
深圳,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39206&keywords=&tid=0&lid=0,2018-04-16,25663-移动云项目经理
